d,k,diagonal,known,reps,sample_size,style,passes,first_fail,second_fail,third_fail,mix_errs_low,mix_errs_mid,mix_errs_high,mean_errs_low,mean_errs_mid,mean_errs_high,covar_errs_low,covar_errs_mid,covar_errs_high,timing_low,timing_mid,timing_high
5,3,false,false,100,1000,low,0,75,16,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,3,false,false,1,1000,low,0,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,3,false,false,100,1000,low,0,69,24,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,3,false,false,100,1000,low,13,72,15,0,0.03963327622444125,0.08060554207732785,0.36290775484804016,2.2706473404825176,2.91683966537573,5.627553068129031,2.627970669097164,6.354200912608559,11.86354541547122,3.0648347732000003,3.159929792,4.1882142814000005
5,3,false,false,100,1000,low,13,75,12,0,0.02962640495356002,0.17755481933243253,0.2814829282407142,1.4921213991607203,3.9861509673427324,5.6061668693445466,2.6056839523425115,7.975237352989595,172.14546178679547,3.1974976606,3.299647141,4.0440931722
5,2,false,true,100,1000,low,89,0,11,0,0.0,0.0,0.0,0.12078805242349018,0.8051838876149352,2.2464486793942524,0.3255214136592995,1.6735840446231949,3.5628104016766073,2.4650534372,2.540224483,3.0857288040000004
5,4,false,false,100,1000,low,4,89,7,0,0.08204704650962416,0.20419922255825013,0.31347312492690715,4.431181691224024,5.097197095448669,7.227064785049285,6.605244991436303,10.141170674183735,11.797839420924554,35.18033477575,40.1420570795,49.1749054538
10,3,true,true,100,1000,low,8,0,92,0,0.0,0.0,0.0,2.6782686383479923,3.5217566995225935,6.695682703383273,0.854434515079044,1.122282697417675,1.4219179717047492,3.1204181155999997,3.224644082,3.3321884879
2,3,true,false,100,1000,low,17,70,13,0,0.01867000948271974,0.22185254331777338,0.36351293096733983,1.0129097895507408,2.8446661178528676,4.203094574726036,0.4401570645395306,1.0337777199718936,1.923081841854084,3.0940189557999997,3.18070978,3.8500449533999976
